Lat;Lon;Title;PCR REALIZADOS;TOTAL ACUMULADO;POSITIVOS;NEGATIVOS;ACUMULADO POSITIVO;ACUMULADO NEGATIVO;NUEVOS CASOS ACUMULADO 14 DIAS;NUEVOS CASOS ACUMULADO 7 DIAS;TASA IA 14;TASA IA 7
42.4406711;-2.9536395;SANTO DOMINGO DE LA CALZADA;6;2821;0;7;559;2262;2;1;32.0616;16.0308
42.3775287;-2.9547541;SANTURDEJO;0;26;0;0;1;25;0;0;-1;-1
42.3701573;-2.5450196;SOJUELA;1;110;0;1;8;102;2;1;-1;-1
42.3424217;-2.5283408;SORZANO;0;36;0;0;0;36;0;0;-1;-1
42.4002904;-2.6019433;SOTES;1;110;0;1;6;104;0;0;-1;-1
42.2865432;-2.4248744;SOTO EN CAMEROS;0;15;0;0;0;15;0;0;-1;-1
42.5463903;-2.9483216;TIRGO;1;55;0;1;0;55;0;0;-1;-1
42.2985881;-2.8144293;TOBIA;0;8;0;0;1;7;1;1;-1;-1
42.4939896;-3.0741703;TORMANTOS;0;40;0;0;13;27;0;0;-1;-1
42.2403;-2.5184;TORRE EN CAMEROS;0;3;0;0;0;3;0;0;-1;-1
42.2560793;-2.6305716;TORRECILLA EN CAMEROS;0;159;0;0;30;129;0;0;-1;-1
42.4084962;-2.834464;TORRECILLA SOBRE ALESANCO;0;21;0;0;1;20;1;0;-1;-1
42.5011722;-2.6852289;TORREMONTALBO;0;3;0;0;0;3;0;0;-1;-1
42.5575274;-3.0510631;TREVIANA;0;40;0;0;4;36;2;0;-1;-1
42.4019281;-2.7183425;TRICIO;0;126;0;0;17;109;8;5;-1;-1
42.2995149;-2.1164086;TUDELILLA;0;65;0;0;4;61;0;0;-1;-1
42.4424543;-2.7080791;URUÑUELA;0;334;0;0;46;288;10;5;-1;-1
41.9839;-2.0737;VALDEMADERA;0;1;0;0;0;1;0;0;-1;-1
42.3172671;-3.0673819;VALGAÑON;0;62;0;0;10;52;6;5;-1;-1
42.4042098;-2.6263385;VENTOSA;0;51;0;0;0;51;0;0;-1;-1
42.1557741;-2.8521104;VENTROSA;0;5;0;0;0;5;0;0;-1;-1
42.3082258;-2.5337834;VIGUERA;1;111;0;1;3;108;0;0;-1;-1
42.6100397;-2.8872087;VILLALBA DE RIOJA;1;16;0;1;1;15;0;0;-1;-1
42.4918138;-2.9621669;VILLALOBAR DE RIOJA;0;18;0;0;3;15;0;0;-1;-1
42.4259906;-2.4187939;VILLAMEDIANA DE IREGUA;20;2732;3;26;180;2552;28;14;346.9641;173.482
42.1671295;-2.6509038;VILLANUEVA DE CAMEROS;0;13;0;0;0;13;0;0;-1;-1
42.318377;-2.093425;VILLAR DE ARNEDO, EL;2;158;1;1;17;141;1;1;-1;-1
42.3713866;-2.8645607;VILLAR DE TORRE;0;57;0;0;9;48;0;0;-1;-1
42.372862;-2.88774;VILLAREJO;0;9;0;0;1;8;0;0;-1;-1
42.4298333;-3.0484882;VILLARTA-QUINTANA;0;38;0;0;5;33;0;0;-1;-1
42.1317208;-2.9847602;VILLAVELAYO;0;6;0;0;0;6;0;0;-1;-1
42.3214131;-2.8104437;VILLAVERDE DE RIOJA;0;5;0;0;0;5;0;0;-1;-1
42.1138174;-2.6733182;VILLOSLADA DE CAMEROS;1;57;0;1;4;53;0;0;-1;-1
42.152461;-2.8891866;VINIEGRA DE ABAJO;0;20;0;0;2;18;0;0;-1;-1
42.0952984;-2.8334594;VINIEGRA DE ARRIBA;0;1;0;0;0;1;0;0;-1;-1
42.5152122;-2.8820043;ZARRATON;0;73;0;0;4;69;0;0;-1;-1
42.3258316;-3.0377863;ZORRAQUIN;0;29;0;0;3;26;0;0;-1;-1
